,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital instability (1983),marital instability (1988),marital instability (1992),marital instability (2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
1841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$60,000 - \$69,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
1846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,0.0,"\$70,000 - \$79,999","\$60,000 - \$69,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
1862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,0.0,0.0,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
1866,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.699999988079071,0.7799999713897705,1.1100000143051147,1.0,"\$60,000 - \$69,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
1869,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2599999904632568,0.0,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999","Under \$20,000"
1871,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999761581421,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
1873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,0.4799999892711639,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$50,000 - \$59,999","\$25,000 - \$29,999"
1878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$40,000 - \$49,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
1879,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1799999475479126,1.0,0.7799999713897705,1.1100000143051147,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1881,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.2000000476837158,1.1100000143051147,0.4799999892711639,0.699999988079071,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799999713897705,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
1902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.699999988079071,0.0,0.4799999892711639,1.0800000429153442,"\$100,000 or More","\$60,000 - \$69,999","\$60,000 - \$69,999","\$20,000 - \$29,999"
1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,0.0,0.0,"\$50,000 - \$59,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
